Vasculaire Interventionnel - Liste des établissements actifs*;;;;;;;;;;;
Auvergne-Rhône-Alpes;;;;;;;;;;;
"*sur la période 2018Q1-2020Q1 - La base de données IHMT ""Groupements / Centrales d'achats"" est mise à jour tous les trimestres";;;;;;;;;;;
Production : IHMT. Licence Creative Commons Attribution CC-BY-NC-ND;;;;;;Source : Data.Gouv.fr, finess.sante.gouv.fr, sante.gouv.fr, ihmt.fr;;;;;
Code_IHMT;Nom;Ville;FINESS;New_Reg;Groupements;GHTs;;;;;
69PRLYON06;CL DU PARC LYON;LYON;690023239;Auvergne-Rhône-Alpes;C2S;;;;;;
69PRLYON07;HP NATECIA;LYON;690000732;Auvergne-Rhône-Alpes;NOALYS;;;;;;
69PRRILL01;PCL LYON-NORD;RILLIEUX-LA-PAPE;690780390;Auvergne-Rhône-Alpes;VIVALTO SANTE;;;;;;
69PRSAIN01;CL TRENEL;SAINTE-COLOMBE;690780663;Auvergne-Rhône-Alpes;CLINIQUE;;;;;;
69PRSAIN02;CL CHARCOT;SAINTE-FOY-LES-LYON;690034392;Auvergne-Rhône-Alpes;CLINIQUE;;;;;;
69PRVENI01;GHM PORTES DU SUD;VENISSIEUX;690780416;Auvergne-Rhône-Alpes;GHMF;;;;;;
69PRVILL01;PCL DU BEAUJOLAIS;VILLEFRANCHE-SUR-SAONE;690807367;Auvergne-Rhône-Alpes;RAMSAY SANTE;;;;;;
69PRVILL02;GCS MEDIPOLE LYON-VILLEURBANNE;VILLEURBANNE;690041124;Auvergne-Rhône-Alpes;RAMSAY SANTE;;;;;;
69PULYON01;CHU NORD CROIX ROUSSE;LYON;690781810;Auvergne-Rhône-Alpes;CH HCL [UNIHA];ARA-10 Rhône centre;;;;;
69PULYON02;CH SAINT JOSEPH ET SAINT LUC;LYON;690781810;Auvergne-Rhône-Alpes;CH HCL [UNIHA];ARA-10 Rhône centre;;;;;
69PULYON05;HOPITAL CARDIOLOGIQUE;LYON;690781810;Auvergne-Rhône-Alpes;CH HCL [UNIHA];ARA-10 Rhône centre;;;;;
69PULYON06;CHU HERRIOT;LYON;690781810;Auvergne-Rhône-Alpes;CH HCL [UNIHA];ARA-10 Rhône centre;;;;;
69PULYON07;CHU SUD;LYON;690781810;Auvergne-Rhône-Alpes;CH HCL [UNIHA];ARA-10 Rhône centre;;;;;
69PULYON08;CHU EST LYON;LYON;690781810;Auvergne-Rhône-Alpes;CH HCL [UNIHA];ARA-10 Rhône centre;;;;;
69PULYON09;CENTRE LEON BERARD;LYON;690781810;Auvergne-Rhône-Alpes;CLCC;ARA-10 Rhône centre;;;;;
69PUVILL01;CH VILLEFRANCHE-SUR-SAONE;VILLEFRANCHE-SUR-SAONE;690782222;Auvergne-Rhône-Alpes;CH [RESAH] [UNIHA];ARA-12 Rhône Nord Beaujolais Dombes;;;;;
73PRCHAM01;MEDIPOLE DE SAVOIE;CHAMBERY;730004298;Auvergne-Rhône-Alpes;CLINIQUE;;;;;;
73PUCHAM01;CH CHAMBERY;CHAMBERY;730000015;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-02 Savoie Belley;;;;;
74PRANNE01;CL GENERALE ANNECY;ANNECY;740000120;Auvergne-Rhône-Alpes;VIVALTO SANTE;;;;;;
74PRANNE02;HP PAYS DE SAVOIE;ANNEMASSE;740014345;Auvergne-Rhône-Alpes;RAMSAY SANTE;;;;;;
74PRARGO01;CL D'ARGONAY;ARGONAY;740780416;Auvergne-Rhône-Alpes;RAMSAY SANTE;;;;;;
74PUANNE01;CH REGION ANCIENNE;ANNECY;740781133;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-08 Genevois Annecy Albanais;;;;;
74PUANNE02;CH ALPES LEMAN;ANNEMASSE;740790258;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-07 Léman Mont-Blanc;;;;;
74PUSALL01;CH SALLANCHES;SALLANCHES;740001839;Auvergne-Rhône-Alpes;CH [UNIHA];ARA-07 Léman Mont-Blanc;;;;;
