name,lat,lon
Établissement Public de Santé de Fresnes,48.765358697049884,2.3204394720897508
,43.578533152173144,7.035113677273749
Hôpital Bichat-Claude Bernard,48.898862750459095,2.3319566083744125
Unité de Santé Mentale pour Adultes,50.957569303600344,1.8845839251441407
Polyclinique de Bordeaux Tondu,44.82570025945741,-0.5299807064374843
Centre hospitalier de la Côte Basque - Site de Saint-Leon,43.482354560751354,-1.4808129543278397
Clinique d'Épernay,49.04852259968032,3.9507764
Centre hospitalier de Martigues,43.4128284301677,5.038617162932521
CHS de l'Yonne,47.805026199983736,3.5697247
Centre hospitalier de l’Ouest Vosgien - Site de Neufchâteau,48.368914367566155,5.708209735998848
Maison médicale,46.67830943194001,5.109942098712469
Hôpital André Fourrier,50.609744748403145,3.033807024041634
CHU de Montpellier,43.62927418574731,3.8649583896816764
Centre Hospitalier Psychiatrique Interdépartemental Site de Fitz James,49.38480199319427,2.440412900820794
Médecin,44.26652990052157,1.9957018000000002
Pôle de Santé La Francilienne,48.805583050132235,2.6149263519123567
Clinique Kennedy,43.831573823416214,4.3476367482762335
Hôpital Privé de Villeneuve d'Ascq,50.65294740615182,3.1525006192183818
Centre hospitalier Ariège Couserans,42.99956728570375,1.1294618941756829
Clinique Ambroise Paré,49.36100737631697,6.15425988924805
Centre de jour Froissart,50.3639428993724,3.5228645999999997
Centre de Santé Mentale Yves Pelicier,48.62015227441926,-1.977313973872937
Clinique Saint-Christophe,42.71611840052739,2.8947379
Hôpital Saint-Antoine,44.07199593855024,7.257922369044053
Hôpital Nord-Ouest Grandris Haute Azergues,46.04298682365947,4.4776820933567505
Maternité catholique Sainte-Félicité,48.83913846471267,2.288524787519587
Centre hospitalier Pierre Oudot,45.59591822225471,5.245414761489802
CH des Deux Rives,44.11017834658686,0.8874833203125683
,45.894533653163066,0.9140752296956871
Centre hospitalier Nord Ouest Villefranche,46.00504624353019,4.695317531392582
Clinique Champ Fleuri,45.77023247310922,4.958252818610108
Centre hospitalier d'Albi,43.925721571510515,2.1422172158666064
Polyclinique Pasteur,43.456422700542,3.4233370999999995
Centre Joseph Daquin,46.18079930438563,6.248059120055493
Centre hospitalier de Guingamp,48.56743851713414,-3.14531073607592
L’Hôpital Nord-Ouest Tarare,45.889158466159074,4.438649637339815
Domaine du Grand-Mesnil,48.69685223036513,2.17030742415303
Polyclinique Majorelle,48.70117274368819,6.143824063599376
Centre de santé des Épinettes,48.818588599737325,2.2597413
Institut Curie,48.84264489973135,2.3435196999999994
EPSMD de l'Aisne,49.035604999683535,3.4070896
Hôpital Gériatrique Le Kem,49.36319826298726,6.145975538065574
Clinique Soleil Cerdan,42.41595770980282,1.9758634104965715
Hôpital Local de Saint-Pierre-de-Bœuf,45.381009199244936,4.747210755457967
Centre hospitalier du Forez,45.745970555689176,4.221671874870327
Clinique Porte de Paris,48.9296863946364,2.355282671865191
Hôpital privé de la Seine Saint-Denis,48.936442042251876,2.4569506442957483
Centre Hospitalier de Remiremont,48.013371490917244,6.593117414356914
Centre hospitalier Alès-Cévennes,44.146620172683285,4.096492274070453
Établissement Public de Santé Mentale des Flandres,50.74609058622241,2.7440193696386186
Hôpital des Collines Vendéennes,46.64589474846464,-0.7403484918295905
,48.68287799977097,-3.9964775000000006
Hôpital local d'Ernée,48.295308113564516,-0.9219405324804689
"""Polyclinique de Limoges",45.815222761838704,1.2261761887236395
,49.28621401589066,-0.7066148020444705
Centre Martel de Janville,46.08176435455569,6.40653433300341
Clinique Nouvelle du Forez,45.60685711421641,4.047452158374021
