name,lat,lon
Clinique Psychiatrique Joseph Chiron,45.24295112015161,4.664056292292109
Clinique Bon secours,45.0335470161922,3.88835719993833
Centre traitement ambulatoire intensif,45.18493980044954,5.7537862
Clinique Mon Repos,45.77199374900187,4.784128724884725
U.S.L.D. Hôpital de Villeneuve-de-Berg,44.562485800504064,4.5012107
"""Centre hospitalier """"L'Arlandaz"""" d'Albertville-Moûtiers""",45.6686969341559,6.369558412925939
Centre Psychothérapique de l'Ain,46.22681265518855,5.23616658648302
Hôpital Local Claude Déjean de Villeneuve-de-Berg,44.560684378753976,4.501094310924154
Unités d’hospitalisation complète et accueil familial thérapeutique,45.93022301752537,6.115707943487894
Centre hospitalier de Mauriac,45.21763209447119,2.339968253459157
Clinique du Parc,45.77164930623018,4.8592920651646905
Émile Zola,45.05176108402615,5.059012454417214
Centre hospitalier de La Tour-du-Pin,45.57036961710247,5.448078039731885
Addictologie Consultations,45.184956800449534,5.753511399999999
Hôpital Reine Hortense,45.6889993959134,5.916801979218351
Centre hospitalier de Saint-Marcellin,45.15279698592226,5.322922328371004
Centre hospitalier de Luzy-Dufeillant,45.34084526315827,5.06074510419939
USLD du CH de Saint-Flour,45.029489800465406,3.0671325
CH de Crest,44.73012078261299,5.021884709341276
Centre Medico Psychologique Adultes de Sallanches,45.94067044096356,6.634219354321101
EMAS,46.08322505262366,6.407587774968301
Polyclinique du Beaujolais,46.01143797651823,4.707866067166878
Centre hospitalier Guy Thomas,45.88871499187152,3.1126870338895807
Centre hospitalier de Condat-en-Feniers,45.34112834926071,2.7528037299536625
,46.56990750585497,3.3232967014011727
Hôpitaux Drôme-Nord - Site de Saint-Vallier,45.17053805106535,4.822145759146589
Hôpital de jour petite enfance Bleu Soleil,46.36853822425499,6.4661919756234605
Maison médicale,45.89004110035921,4.742572599999999
Clinique de la Sauvegarde,45.7881326207976,4.786598002493437
Hôpital neurologique Pierre Wertheimer,45.748991492216646,4.8987542484297055
CHU Nord de Grenoble,45.200501278203504,5.745273590525578
Centre hospitalier Montpensier,45.94086950475462,4.771428937327848
Clinique du Parc,45.47775252892484,4.367401681584088
Centre hospitalier Saint-Joseph Saint-Luc,45.74964303677253,4.835898035780383
Centre hospitalier de Valence,44.91352058276093,4.905365154307687
Clinique Pasteur,44.93440973936286,4.882407081325728
centre hospitalier de Craponne sur Arzon,45.32829407550281,3.8407450098254503
USLD La Matinière,45.386760500426725,5.740181299999999
Hôpital du Gier - Site Pinay,45.46909840384837,4.519885497744652
Clinique Charcot,45.74960154860244,4.797142426126422
Clinique Villa des Roses,45.75252312190016,4.801878026107707
,45.6894018902267,4.82356472648998
Médipôle de Savoie,45.54523958450597,5.969634303673843
Hôpital d'Uriage,45.14089815127458,5.8338768659133216
Centre hospitalier Paul Ribeyre,44.65498921027759,4.369706647982936
Centre hospitalier de La Mûre,44.90464351201037,5.795088335178062
Centre hospitalier spécialisé Drôme Vivarais,44.875836613180674,4.916012872766859
Hôpital Bellevue,45.41078467520809,4.39126329753283
Unité pour malades difficiles,45.73825671449314,4.902621554664648
Centre Medico Psychologique Infanto-juvénile,46.36021904401243,6.480673690041417
Centre hospitalier Ardèche Nord,45.24193927949988,4.665228132648163
Hôpital De Jour Adultes,45.9407355003516,6.6341179
Centre hospitalier Lyon-Sud,45.70220291726637,4.808647945956345
Hôpitaux du Mont-Blanc - Site de Sallanches,45.93520366727768,6.641118486768985
Hôpital de la Croix-Rousse,45.78174019223687,4.830818157200607
Centre de lutte contre le cancer Léon Bérard,45.74107795032501,4.877640967409522
,46.207945300309056,5.224934299999999
,45.86181134474442,4.832259076594282
Etablissement Public de Santé Mentale de la Vallée de l'Arve,46.06114297519401,6.32478039036362
Centre hospitalier de Roanne,46.04273121418996,4.079137319768835
Centre hospitalier spécialisé d'Yzeure,46.57628991237704,3.344224137608973
Hôpital de Moze Saint-Agrève,45.00798933067666,4.399641342188876
,46.0045115003418,4.694038699999999
CHU Grenoble Alpes - site Sud,45.14853900908414,5.731613026729486
Centre hospitalier de Condrieu,45.45966666022261,4.76017851124129
Institut Daniel Hollard,45.18159229971647,5.709059799060294
Hôpital de jour de Décines,45.77391950037612,4.972832
CMPR Les Beaumes,44.91102813484577,4.890286422364431
Centre ambulatoire en santé mentale,45.18492668747951,5.75371002476266
Polyclinique Saint-Odilon,46.54153676561482,3.337211646884123
Centre Hospitalier Jacques Barrot,45.14420792178646,4.126727227441985
Point Ecoute Jeunes Sallanches,45.93740288518154,6.629740488558501
Clinique Herbert,45.68568703269271,5.92178674537339
Pôle médical de Sémaphore,45.83572685039566,3.0941995999981025
Hôpital Maurice André,45.59814931213336,4.3018126628083335
Hôpital de Tournon,45.05512319138077,4.853966356785996
Clinique Psychiatrique Les Queyriaux,45.72889885223098,3.206474281054573
Clinique Lyon Lumière,45.76905939583433,4.999420479777365
Centre hospitalier de Belleville,46.11049041786672,4.747933783971718
Centre hospitalier de Die,44.755343333712354,5.371567356396459
CMP de Décines,45.77381070037612,4.972901599999999
